,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.16312789916992188,0.06948185485899278,0.031028175354003908,0.0021926249711219977,0.17945257120241306,2.754297132692872,4,7,22,"{'classifier__l2_regularization': 0.17945257120241306, 'classifier__learning_rate': 2.754297132692872, 'classifier__max_bins': 4, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 22}",0.605568445475638,0.6837291837291837,0.6811356811356811,0.6014196014196014,0.7791427791427792,0.6701991381805767,0.06492940493648787,450
1,1.7884240627288819,0.02988263186662544,0.05044565200805664,0.007585908700184022,1.3181071925584444,0.005646220778692988,13,47,37,"{'classifier__l2_regularization': 1.3181071925584444, 'classifier__learning_rate': 0.005646220778692988, 'classifier__max_bins': 13, 'classifier__max_leaf_nodes': 47, 'classifier__min_samples_leaf': 37}",0.7734406987853146,0.758940758940759,0.758940758940759,0.758940758940759,0.763035763035763,0.762659747728671,0.005618948763082988,334
2,2.0042197704315186,0.0641662856354275,0.05064592361450195,0.0066271797792855185,1.5922787275964548e-05,0.04599469240374475,43,53,23,"{'classifier__l2_regularization': 1.5922787275964548e-05, 'classifier__learning_rate': 0.04599469240374475, 'classifier__max_bins': 43, 'classifier__max_leaf_nodes': 53, 'classifier__min_samples_leaf': 23}",0.854783676811792,0.8598143598143598,0.8569478569478569,0.8549003549003549,0.8555828555828556,0.8564058208114439,0.0018701332487338828,56
3,0.17115511894226074,0.004385859310102451,0.029627323150634766,0.0013574645662224978,6.120297945198327e-06,3.3114049689621368,158,42,10,"{'classifier__l2_regularization': 6.120297945198327e-06, 'classifier__learning_rate': 3.3114049689621368, 'classifier__max_bins': 158, 'classifier__max_leaf_nodes': 42, 'classifier__min_samples_leaf': 10}",0.6657567899549611,0.7147147147147147,0.7224952224952225,0.5567840567840567,0.7791427791427792,0.6877787126183469,0.07472983588070282,447
4,1.9077322483062744,0.36223102814171315,0.0386350154876709,0.007664750086881361,0.12897395149041982,0.1436784654519621,2,127,67,"{'classifier__l2_regularization': 0.12897395149041982, 'classifier__learning_rate': 0.1436784654519621, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 127, 'classifier__min_samples_leaf': 67}",0.8059232973932032,0.8003003003003003,0.8001638001638002,0.7996177996177997,0.8013923013923014,0.8014794997734809,0.002295318939618506,268
5,0.11390342712402343,0.0039227004243357405,0.027424955368041994,0.0013577035039959312,0.009392521331551636,1.895141665783731,197,3,33,"{'classifier__l2_regularization': 0.009392521331551636, 'classifier__learning_rate': 1.895141665783731, 'classifier__max_bins': 197, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 33}",0.24048041490378053,0.7297297297297297,0.734097734097734,0.24433524433524434,0.7205842205842206,0.5338454687301418,0.23800092427213562,461
6,0.2402179718017578,0.01555743885123154,0.03423066139221191,0.004625944266084074,0.0016673557895624256,0.6864156537223237,73,6,29,"{'classifier__l2_regularization': 0.0016673557895624256, 'classifier__learning_rate': 0.6864156537223237, 'classifier__max_bins': 73, 'classifier__max_leaf_nodes': 6, 'classifier__min_samples_leaf': 29}",0.8557390473590828,0.8604968604968605,0.8543543543543544,0.855036855036855,0.8543543543543544,0.8559962943203014,0.0023079744084721653,63
7,0.4215827941894531,0.023228021743932195,0.045641422271728516,0.004720140704802507,0.03645830556261188,0.11155326701681711,135,4,82,"{'classifier__l2_regularization': 0.03645830556261188, 'classifier__learning_rate': 0.11155326701681711, 'classifier__max_bins': 135, 'classifier__max_leaf_nodes': 4, 'classifier__min_samples_leaf': 82}",0.8565579363996179,0.8645918645918645,0.8621348621348621,0.8600873600873601,0.8603603603603603,0.860746476714813,0.002639773192505587,30
8,0.30647830963134765,0.025716829484403302,0.028626108169555665,0.0012012004899617096,1.2813100689050935e-06,2.285529801179932,11,180,5,"{'classifier__l2_regularization': 1.2813100689050935e-06, 'classifier__learning_rate': 2.285529801179932, 'classifier__max_bins': 11, 'classifier__max_leaf_nodes': 180, 'classifier__min_samples_leaf': 5}",0.7718029207042446,0.7674037674037674,0.7781872781872782,0.7695877695877695,0.7746382746382746,0.7723240021042669,0.003786847435666268,330
9,1.1304261684417725,0.17964081247569258,0.03463134765625,0.0022469982009957544,1.6234099698429112e-05,0.17857835876339737,74,76,1,"{'classifier__l2_regularization': 1.6234099698429112e-05, 'classifier__learning_rate': 0.17857835876339737, 'classifier__max_bins': 74, 'classifier__max_leaf_nodes': 76, 'classifier__min_samples_leaf': 1}",0.8527364542104545,0.8588588588588588,0.857084357084357,0.8518973518973519,0.8565383565383565,0.8554230757178758,0.002662967384770645,68
10,0.2464235782623291,0.06703673350279295,0.03182897567749023,0.0024841602313305147,1.4885872580241646,1.4458280679574644,112,7,39,"{'classifier__l2_regularization': 1.4885872580241646, 'classifier__learning_rate': 1.4458280679574644, 'classifier__max_bins': 112, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 39}",0.855602565852327,0.857084357084357,0.8527163527163527,0.8535353535353535,0.8576303576303577,0.8553137973637496,0.0019232421366073998,71
